name,position,scale,count,url
泰康资产管理有限责任公司,北京市西城区武定侯街2号泰康国际大厦5层,988.42亿元,0,www.taikangasset.cn
天治基金管理有限公司,上海复兴西路159号,55.38亿元,19,www.chinanature.com.cn
同泰基金管理有限公司,深圳市福田区华富街道莲花一村社区皇岗路5001号深业上城(南区)T2栋41层,28.07亿元,45,www.tongtaiamc.com
天风(上海)证券资产管理有限公司,上海市虹口区东大名路678号5楼,10.02亿元,6,www.tfzqam.com
泰康基金管理有限公司,--,909.06亿元,118,www.tkfunds.com.cn
天风证券股份有限公司,湖北省武汉市武昌区中北路217号天风大厦2号楼,---,0,www.tfzq.com
万家基金管理有限公司,上海市浦东新区浦电路360号陆家嘴投资大厦9楼,3501.83亿元,230,www.wjasset.com
万联证券股份有限公司,广州市天河区珠江东路11号高德置地广场F座18、19楼,3.51亿元,1,www.wlzq.cn
鑫元基金管理有限公司,上海市静安区中山北路909号12楼,1094.04亿元,97,www.xyamc.com
兴合基金管理有限公司,--,7.40亿元,2,www.xhfund.com
兴证全球基金管理有限公司,上海市浦东新区芳甸路1155号浦东嘉里城办公楼28楼,5873.95亿元,91,www.xqfunds.com
湘财证券股份有限公司,北京市西城区月坛南街1号院1号楼2层1-204-02单元,21.17亿元,1,www.xcsc.com
信达澳亚基金管理有限公司,深圳市南山区科苑南路2666号中国华润大厦10层,896.63亿元,89,www.fscinda.com
新华基金管理股份有限公司,北京市西城区平安里西大街26号新时代大厦9层、11层,575.73亿元,76,www.ncfund.com.cn
兴银基金管理有限责任公司,中国(上海)自由贸易试验区滨江大道5129号N1幢3层、4层,720.53亿元,76,www.hffunds.cn
西南证券股份有限公司,重庆市江北区金沙门路32号,3.05亿元,1,www.swsc.com.cn
新沃基金管理有限公司,北京市朝阳区安贞西里五区1号楼新华金融大厦5层519室,52.96亿元,10,www.sinvofund.com
兴业基金管理有限公司,上海市浦东新区银城路东新区银城路167号13、14层,2850.61亿元,136,www.cib-fund.com.cn
信达证券股份有限公司,北京市西城区闹市口大街9号院1号楼,19.59亿元,8,www.cindasc.com
兴证证券资产管理有限公司,上海市浦东新区长柳路36号兴业证券大厦9楼,25.14亿元,25,www.ixzzcgl.com
西部证券股份有限公司,陕西省西安市新城区东新街319号8幢10000室,6.60亿元,1,www.westsecu.com
湘财基金管理有限公司,上海市浦东新区杨高南路428号由由世纪广场1号楼3楼,29.34亿元,23,www.xc-fund.com
兴华基金管理有限公司,山东省青岛市李沧区金水路187号青岛国际院士港产业加速器2号楼8层,56.40亿元,15,www.xinghuafund.com.cn
先锋基金管理有限公司,北京市海淀区北太平庄路18号城建大厦A座24层,31.53亿元,17,www.xf-fund.com
西部利得基金管理有限公司,上海市浦东新区耀体路276号晶耀商务广场3号楼9层,899.31亿元,113,www.westleadfund.com
易方达基金管理有限公司,广州市天河区珠江新城珠江东路30号广州银行大厦40-43F,15330.42亿元,536,www.efunds.com.cn
银河基金管理有限公司,上海市浦东新区世纪大道1568号中建大厦15楼,1032.39亿元,134,www.cgf.cn
益民基金管理有限公司,北京市宣武区宣武门外大街10号庄胜广场中央办公楼南翼13A,10.42亿元,6,www.ymfund.com
银河金汇证券资产管理有限公司,北京市丰台区西营街8号院1号楼青海金融大厦,245.88亿元,13,yhjh.chinastock.com.cn
英大基金管理有限公司,北京市朝阳区东三环中路1号环球金融中心西塔22楼2201,509.87亿元,46,www.ydamc.com
易米基金管理有限公司,上海市浦东新区杨高南路759号29层02单元,8.43亿元,14,www.yimifund.com
永赢基金管理有限公司,上海市浦东新区世纪大道210号二十一世纪大厦21、22、23、27层,2712亿元,186,www.maxwealthfund.com
银华基金管理股份有限公司,北京市东城区东长安街1号东方广场东方经贸城C2办公楼15层,6008.03亿元,261,www.yhfund.com.cn
粤开证券股份有限公司,广州经济技术开发区科学大道60号开发区控股中心21、22、23层,3.08亿元,1,www.ykzq.com
圆信永丰基金管理有限公司,中国上海市浦东新区世纪大道1528号陆家嘴基金大厦19楼,327.88亿元,46,www.gtsfund.com.cn
中海基金管理有限公司,上海市浦东新区银城中路68号2905-2908室及30层,149.72亿元,43,www.zhfund.com
中信建投基金管理有限公司,北京市东城区朝阳门内大街2号凯恒中心B座17、19层,564.68亿元,92,www.cfund108.com
浙商基金管理有限公司,杭州市西湖区教工路18号世贸丽晶欧美中心B座507室,526.05亿元,74,www.zsfund.com
中国中金财富证券有限公司,深圳市福田区益田路与福中路交界处荣超商务中心A栋第18-21层及第04层01.02.03.05.11.12.13.15.16.18.19.20.21.22.23单元,37.88亿元,1,www.ciccwm.com
中银基金管理有限公司,上海市浦东新区银城中路200号中银大厦10楼、11楼、26楼、45楼,4010.84亿元,251,www.bocim.com
中科沃土基金管理有限公司,广东省佛山市南海区桂城街道桂澜北路6号千灯湖创投小镇核心区(自编号)十三座(B4),15.44亿元,11,www.richlandasm.com.cn
中信证券股份有限公司,"广东省深圳市福田区中心三路8号中信证券大厦,北京市朝阳区亮马桥路48号中信证券大厦",323.80亿元,40,www.citics.com
中航基金管理有限公司,北京市朝阳区天辰东路1号的北京亚洲金融大厦B座1001、1007、1008单元,227.63亿元,31,www.avicfund.cn
浙江浙商证券资产管理有限公司,杭州市江干区五星路201号浙商证券大楼(原明珠国际商务中心1号楼)7楼,235亿元,41,www.stocke.com.cn
中庚基金管理有限公司,上海市浦东新区陆家嘴环路1318号星展银行大厦7F 703-704室,383.05亿元,6,www.zgfunds.com.cn
中国国际金融股份有限公司,中国北京市朝阳区建国门外大街1号国贸大厦2座27、28层,56.99亿元,14,www.cicc.com
朱雀基金管理有限公司,上海市浦东新区海阳西路555号/东育路588号前滩中心【又名:前滩荟中心】第58层,200.40亿元,13,www.rosefinchfund.com
中金基金管理有限公司,北京市朝阳区建国门外大街1号国贸写字楼2座26层05室,829.04亿元,67,www.ciccfund.com
中银国际证券股份有限公司,"上海市浦东新区银城中路200号中银大厦39、40、41层,北京市西城区西单北大街110号7层",1245.48亿元,79,www.bocichina.com
中信建投证券股份有限公司,"北京市东城区朝内大街188号,香港中环交易广场二期18楼",150.92亿元,3,www.csc108.com
中原证券股份有限公司,中国河南省郑州市郑东新区商务外环路10号,21.15亿元,1,www.ccnew.com
中邮创业基金管理股份有限公司,北京市东城区和平里中街乙16号,535.18亿元,81,www.postfund.com.cn
中信保诚基金管理有限公司,上海市浦东新区世纪大道8号上海国金中心汇丰银行大楼9层,1099.38亿元,133,www.citicprufunds.com.cn
招商基金管理有限公司,深圳市深南大道7088号招商银行大厦28楼,7834.08亿元,490,www.cmfchina.com
招商证券资产管理有限公司,深圳市福田区福华一路111号招商证券大厦17、18楼,370.60亿元,17,amc.cmschina.com/#/home/page
中加基金管理有限公司,北京市西城区南纬路35号,1219.20亿元,122,www.bobbns.com
中融基金管理有限公司,北京市东城区安定门外大街208号中粮置地广场A座11层,1110.02亿元,143,www.zrfunds.com.cn
中泰证券(上海)资产管理有限公司,上海市浦东新区银城中路488号太平金融大厦1002-1003室,423.49亿元,46,www.ztzqzg.com
中欧基金管理有限公司,中国(上海)自由贸易试验区陆家嘴环路上海中心16层、中国(上海)自由贸易试验区陆家嘴环路上海中心10层,4703.67亿元,283,www.zofund.com
